index,status,score,reasons,opaque_ratio,edge_density,bbox_w,bbox_h,bbox_area,center_x,center_y,bbox_x0,bbox_y0,largest_component_ratio,component_count,token_entropy,unique_opaque_tokens
0,keep,3.79031347,,0.20312500,0.16633065,0.37500000,0.81250000,0.30468750,0.50837469,0.54745658,0.32258065,0.12903226,1.00000000,1.00000000,2.91696736,14.00000000
1,keep,4.55339863,,0.21484375,0.18598790,0.37500000,0.78125000,0.29296875,0.46700880,0.56994135,0.29032258,0.19354839,0.99090909,2.00000000,3.31018594,12.00000000
2,keep,4.08925305,,0.20898438,0.16028226,0.40625000,0.78125000,0.31738281,0.48673500,0.55954175,0.29032258,0.19354839,0.99532710,2.00000000,2.93648390,14.00000000
3,keep,2.20029562,,0.23144531,0.16330645,0.40625000,0.87500000,0.35546875,0.48046822,0.57016469,0.29032258,0.12903226,1.00000000,1.00000000,2.91346675,11.00000000
4,keep,2.32091157,,0.20800781,0.17489919,0.37500000,0.84375000,0.31640625,0.49962138,0.55823111,0.32258065,0.12903226,1.00000000,1.00000000,2.96481906,11.00000000
5,keep,5.61087110,,0.19531250,0.15120968,0.37500000,0.75000000,0.28125000,0.46903226,0.54629032,0.29032258,0.19354839,1.00000000,1.00000000,2.98921019,12.00000000
6,keep,8.40806781,,0.30566406,0.23588710,0.46875000,0.84375000,0.39550781,0.49129135,0.59383696,0.25806452,0.16129032,1.00000000,1.00000000,3.13769893,13.00000000
7,keep,3.01901087,,0.21679688,0.17187500,0.40625000,0.78125000,0.31738281,0.47021215,0.60563790,0.25806452,0.22580645,1.00000000,1.00000000,3.23397778,11.00000000
8,keep,4.88756619,,0.20410156,0.14163306,0.37500000,0.78125000,0.29296875,0.51412255,0.56413027,0.32258065,0.19354839,1.00000000,1.00000000,2.53719543,9.00000000
9,keep,4.97969256,,0.20117188,0.15473790,0.37500000,0.75000000,0.28125000,0.47165675,0.54917006,0.29032258,0.19354839,1.00000000,1.00000000,2.81798684,11.00000000
10,keep,2.84268428,,0.22460938,0.17288306,0.50000000,0.78125000,0.39062500,0.49859748,0.56058906,0.29032258,0.19354839,1.00000000,1.00000000,2.91611831,10.00000000
11,keep,1.65333210,,0.22656250,0.17741935,0.37500000,0.84375000,0.31640625,0.47024472,0.55895439,0.29032258,0.12903226,1.00000000,1.00000000,2.83641854,13.00000000
12,keep,5.17179123,,0.20312500,0.17187500,0.37500000,0.78125000,0.29296875,0.48759305,0.57552730,0.29032258,0.19354839,0.99038462,3.00000000,2.97960312,11.00000000
13,keep,3.41487352,,0.25683594,0.20010081,0.43750000,0.84375000,0.36914062,0.49061695,0.55942598,0.29032258,0.16129032,1.00000000,1.00000000,2.87092551,12.00000000
14,keep,3.04335070,,0.20800781,0.17590726,0.40625000,0.78125000,0.31738281,0.49114039,0.56519764,0.29032258,0.19354839,0.99530516,2.00000000,2.93276397,11.00000000
15,keep,3.42056143,,0.20996094,0.17389113,0.37500000,0.81250000,0.30468750,0.51207802,0.53908477,0.32258065,0.12903226,1.00000000,1.00000000,3.22334221,14.00000000
16,keep,6.62041112,,0.24609375,0.20665323,0.56250000,0.87500000,0.49218750,0.53929852,0.56477215,0.32258065,0.12903226,1.00000000,1.00000000,3.18699213,13.00000000
17,keep,2.78499693,,0.21972656,0.16784274,0.37500000,0.84375000,0.31640625,0.46422939,0.55455197,0.29032258,0.12903226,1.00000000,1.00000000,3.27750354,15.00000000
