generated_index,hash,matched_split,matched_dataset_indices,num_dataset_matches
0,bc4136dda336fd9b1435c8880f8e5fe182d55961,train,33648 33655,2
1,b0b6d157dad0b753389f61a6c1243d131b3e2cbb,train,61021,1
3,6e506bf05d7e1f5076604745490290fbce032e0c,train,6992 6999,2
4,af0d95ea7801bec432280f1ce9313d2887fe65ed,train,21372 21374,2
5,53f2ea64c0d2496f463ebef8437cbf1456216389,train,67741,1
6,7797707b3fb19bac729067ba58cc705cdbdd38f6,train,16060 16062,2
7,d26826b4b4c5eb9bdea13a9000fdf212d36cdafe,train,24535,1
10,cd69d77d3bba66b65458a767645bb6d30109edc1,train,88350,1
11,1780cee4e04208fd8f5ccd12d2bdfa7a1a3068fb,train,33384,1
12,c7e15b8d15099c9b82351093c7278ca64c957df8,train,84399,1
13,63f3961b9dc511fe97400f05ad9f34175c6f0d6a,train,56250,1
14,fbec11aaa73f70641ae3fc9e1ffb10d7ca7c6512,train,38501,1
15,ba5ea26bef325219218dcf5c67c529673e004838,train,13764 13766,2
16,02488a55ff90a56b3a0a1a5e18a45de0fe96ec12,train,73481,1
17,de2c015d0fd6b21d4070b6422692c3f9e8659628,train,70486,1
18,4ef81cf435663c2966d6ad2973cf9b68c548444e,train,86034,1
19,652707175ddb26eaf6dfe1d4bea5ba1738c9cd6c,train,39825,1
21,ab2a43a8bdcaf6dc562693f7206e05a173be90df,train,76652 76654,2
23,053723703ab7ef51683528f3c6e5e6dd5ee1b6b5,train,79712 79719,2
24,76b758074782f177f3b09ceeb990e0a84b2aa20d,train,69701,1
25,e4acaa53d848178be07f46466575eadae238965c,train,44572 44574,2
28,9aa8b0192c26b95ddca0867d87d2a65322a659ef,train,61849,1
29,7d8fe1aa6ae7166f99352b157d364f81df34f57f,train,35769,1
30,790450941350d538fa66f5c78cca79e22026bd83,train,92313,1
31,9fa0fa3c1464b4d52d6d0d4ce118c8aa07320334,train,42619,1
32,ad3a1ab35f7d9422ffea16b44f8ee437af60a05e,train,7428 7430,2
33,574bb22741b3607692820b962972de661fd07d48,train,42586,1
34,d58ed717700dc0e819c63b243e824273ac40794f,train,20868 20870,2
35,d401d9df0c36b4ad574322e0f982c94bb1fc4038,train,15787,1
37,605f0ccc792d700777eae19495ea07f79a269fc4,train,66059,1
38,f5715e19b2319b8816b2534d452af478e1300470,train,81006,1
40,8ec930dd036c2aa718d0552f82283747063530c6,train,48148 48150,2
41,651da020f9df8f77a371abde905c232fa9345eca,train,69299,1
42,2642979a2f34730db1b6b16123b92ac615e274ea,train,8474,1
44,91c1ef613a850aebaf24db5806eaf0b5ef209c3c,train,12971,1
45,ad2695bf654419b67c52e05211a98641e6001926,train,57073,1
46,a9c3b842179dc0b0fcb83a5b7ffb40524e6c2519,train,47921,1
47,501172127fbe98602709e49bf80eec5964689fcc,train,70712,1
48,2552e81e5ed7f919c0699b892edc225f39d9fd6d,train,62028 62030,2
49,2016ef5ae6fb2fec7f287874ff1b8341a43be219,train,46170,1
50,ae26d50df1a315e3e65d2eb4f50c0491bff8ca22,train,81730,1
51,5ef3fdd3849dfb231da7f6dd7306b21ba881a089,train,74658,1
52,63ed3c2c576fff1b50f65b78a74a32c7f26cfe50,train,51785,1
54,c8b1582e46fc573e04fff95225ce071aad79e6d2,train,83464 83471,2
55,d164a0a098af4c52511358b1c9d7ac8bd467879a,train,50596,1
57,3bc9c006c829fb7f0d51b865014556c2bc13b399,train,9928,1
58,1ea5d7f07eb6374f4eeed2ae6c0430632f563a5a,train,30548,1
59,996233c263396a2c2e10445bbb43b0f1517efdde,train,92848,1
60,bac183df971f9c311042263b0634cb67ea8a781e,train,43369,1
61,1fc96aee3848548b2658fc5d0cf0daa1467d61a9,train,46312,1
62,dde8877fe9acc5f59c19f4bc6ef48df95a622e20,train,29587,1
63,ca560a63cfcd57405d8b13a23f8213170b522bde,train,42076,1
64,91bcab53051cebef40c68e72a3676d758db68201,train,29514,1
65,43b44de8bfd7d5e0e2f1b6f3997c8d95b1e03f8b,train,9539,1
66,db0e5a62fc25c2f0c0421c9323d10733e29c4e76,train,5471,1
