generated_index,hash,matched_split,matched_dataset_indices,num_dataset_matches
51,74a14fb0d1ec6194a34c68237018f59e90a43772,train,81171,1
126,9076c5def9f34f4a5f1910cb96bb406174665368,train,54294,1
188,b6140696e3f9a5d1927f838c0b06ec5184241711,train,10221,1
195,1d45f1b88cf899e311881f5b179e75059d52250f,train,74460 74462,2
284,2a10d8b366e83dbea4a541bccaa9b894acf8f1c5,train,90043,1
322,66046f479423371a59c2aa2b0dc914e05e75c8a9,train,58195,1
326,17c25fe47e6d4ee01437d034946bf5f5ad744291,train,29292 29294,2
379,208768b538e9ea840d9174f2ca954ff9e8b94463,train,10766,1
399,167e847de0248c3908bd73e5d5a3da024221acd4,train,23291,1
405,43559316306f4d0423897fb2ae71f089801564dd,train,82196,1
407,d55264a6374b412635893631fff9a347ae3d8a55,train,71283,1
417,25a1884740b2d60ce62230ff0adc63cacb6caa99,train,90910,1
476,1b23ccccee296d712fd1c797821e15eb9276ea49,train,4178,1
554,b80022a089a885008bd479f286685d055d4daf9c,train,63619,1
559,cad9d64b4f9cea7d4d4d60417eac20d93c2ff91f,train,55709,1
607,28c395deb2901b6ff58d7687b08252a268f817c1,train,76332,1
611,901bd197e6a5772cea9c27614cbfaf497c2ed559,train,73251,1
613,4f9f7052f5b4d875f04d320b0a0d7e244edbc55c,train,26122,1
642,1ffef4226aa5ae19c17465a5badc6b41567a4d33,train,81517,1
651,2da925c837c953969d9c739d5bbbed8ddd8c920d,train,1792,1
655,0bcc77f7a81ea9ddbe53d82981129de6c8305e7f,train,52366,1
658,358bde948d7cd3e58f84e236dd86bb886671d9e0,train,28906,1
682,3e0f5d3e5f94ecd7dd6bc83b2002cc37fd1f4cdf,train,10564 10566,2
723,9151686ef19c73aca3d8af548fbd30e5cddeea08,train,73628 73630,2
777,ab1240980b79843acb7d2dec9ac6ee3ba9bab57c,train,69411,1
790,792cfe4a7e2c9a33f79f93b37dd84a12cf784c3a,train,34938,1
829,2341d1a767a71f61812848a31d59c385f62a3a36,train,8345,1
834,e9672024ff1655a65719d0d49e4820897591f0ed,train,79724 79726,2
853,e8ac9481ece633d193deaae03a48736da286f5d1,train,25087,1
872,c46ab79357594ed04555c8ee2a3e6f633980304d,train,89987,1
