generated_index,hash,matched_split,matched_dataset_indices,num_dataset_matches
37,92989276c67d4a6d56dcc1801ebcbba13e5a27fa,train,86178,1
70,daa404c3c57714ce2a190082e4c2d4690f9a88cf,train,84300 84302,2
93,957e4d4048191fd6a538530fb61c07d25b8002b1,train,43425,1
98,4506797d7e7f8695bc683f8453dc50140a9ecbca,train,67472 67479 87288,3
114,51d736c074288801483e76c6116f7b25cae92d25,train,46652 46654,2
120,752a6db780f8f9344b07558763ade46ac8306863,train,1749,1
130,15c54a389e90c546e87ded681fa599f0e54cfeeb,train,53116 53118,2
135,a536a0429b967309f330cf441c205b3c21d69275,train,80169,1
195,1d45f1b88cf899e311881f5b179e75059d52250f,train,74460 74462,2
196,915f8b110c8e2821750fe6d4c194372117c005ec,train,2161,1
205,04c03c4b5d97614291df5a681e98a8ff34a2b270,train,46062,1
219,815960231f333508a36cb8fb297b00a8faf2e5f0,train,59724 59726,2
220,f250d14dcfbf224896e508419f6ecf8ea2f6c3b0,train,34619,1
277,34584996648d3fabd446864af3ce9ee015ce0213,train,77356 77358,2
281,edaf89a070542cc99f80f996831edaf6680700f3,train,32090,1
284,2a10d8b366e83dbea4a541bccaa9b894acf8f1c5,train,90043,1
301,1dd00401635b7543a40ef12473535396727117c0,train,33940 33942,2
324,5bf32e8481b3266dee9a40c2811615a2390752ab,train,4367,1
326,17c25fe47e6d4ee01437d034946bf5f5ad744291,train,29292 29294,2
329,bd3ca3f73d303dbf796948d3869815ec72a117d9,train,31962,1
348,35ce4389dbcd3de124457596a70eea4323218f6f,train,86676,1
369,89cc9e1a9effd9c0111e9c6a0b0af62895e2644f,train,52391,1
409,e1ca06bc18fba81729ff33b6262209c365d5d000,train,7629,1
443,8ad6e792194f400f022633484143e22ba3a8d716,train,82205,1
449,d3c505261d7030ee2445b1d237d64f4eee98fd05,train,8325,1
470,b0603baae8abb41ae99c9b025f3b938bf3a17157,train,56635,1
478,0db7a16c4ac0d7bb6925406edf6fc138fbffff24,train,90071,1
490,b11a4a4349dc5374013c6dfc19b8edfcf2cd9062,train,70550,1
556,70f8648a9c92d04f356102532b22076cd1e28df1,train,22319,1
561,71fb7512ef7f793cd28161d9c8469d4744bcd685,train,54934,1
568,7eb08e8d0b93bfbed537a2e8c5ab66d14c4e6742,train,16797,1
586,bef43132967798f35e0fe6672749fb64b6bc2c43,train,46413,1
592,bde6ada1763c2022fa29e1c76bca9c4f7ba46c22,train,53188 53190,2
648,29fb51fdaba5fa8dae96be85a8361b0cb1903b18,train,44115,1
