epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/acc_s5_32,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_s5_32_epoch,train/loss_s5_32_step,train/loss_step
,0.001,0,,,,,,,,,,,,,,,,,,,,,
0,,0,,,,,,,,,,2.809584140777588,,2.745129108428955,,2.363416910171509,,2.6414363384246826,,2.89011549949646,,2.361570119857788,2.472808837890625
0,,0,0.34518328309059143,0.0,0.0,0.42276424169540405,0.14139942824840546,0.03340025618672371,0.4338287115097046,2.472808837890625,2.809584140777588,,2.745129108428955,,2.363416910171509,,2.6414363384246826,,2.89011549949646,,2.361570119857788,,
,0.001,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,0.33275100588798523,,0.18379123508930206,,0.7051881551742554,,1.0492048263549805,,1.3617746829986572,,1.6031450033187866,1.5151394605636597
1,,1,0.7554289102554321,1.0,1.0,0.8847185373306274,0.8140161633491516,0.772185206413269,0.7441062927246094,1.5151394605636597,0.33275100588798523,,0.18379123508930206,,0.7051881551742554,,1.0492048263549805,,1.3617746829986572,,1.6031450033187866,,
,0.001,2,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,,,,,,1.3770533800125122,,1.2367948293685913,,1.161141037940979,,1.4219708442687988,,1.276247262954712,,1.3330310583114624,1.3254659175872803
2,,2,0.7600464820861816,1.0,0.8020833730697632,0.8766404390335083,0.7643400430679321,0.7729458808898926,0.7545819282531738,1.3254659175872803,1.3770533800125122,,1.2367948293685913,,1.161141037940979,,1.4219708442687988,,1.276247262954712,,1.3330310583114624,,
,0.001,3,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,,,,,,0.3741125762462616,,0.3354218006134033,,0.7407444715499878,,0.9072299003601074,,1.0253973007202148,,1.181726098060608,1.1247353553771973
3,,3,0.757926881313324,1.0,1.0,0.8611897826194763,0.8192090392112732,0.7800535559654236,0.7436234354972839,1.1247353553771973,0.3741125762462616,,0.3354218006134033,,0.7407444715499878,,0.9072299003601074,,1.0253973007202148,,1.181726098060608,,
,0.001,4,,,,,,,,,,,,,,,,,,,,,
