epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/acc_s5_32,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_s5_32_epoch,train/loss_s5_32_step,train/loss_step
,0.001,0,,,,,,,,,,,,,,,,,,,,,
0,,0,,,,,,,,,,2.604278802871704,,2.41410493850708,,2.8863706588745117,,3.6360280513763428,,3.224635124206543,,3.198071002960205,3.2172012329101562
0,,0,0.010210623033344746,0.0,0.25,0.001953125,0.00537109375,0.007080078125,0.010498046875,3.2172012329101562,2.604278802871704,,2.41410493850708,,2.8863706588745117,,3.6360280513763428,,3.224635124206543,,3.198071002960205,,
,0.001,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,0.9818710088729858,,0.2205607295036316,,0.48677724599838257,,0.9902327060699463,,1.094362735748291,,1.313847303390503,1.2443692684173584
1,,1,0.7898351550102234,1.0,1.0,0.9609375,0.83740234375,0.806640625,0.778961181640625,1.2443692684173584,0.9818710088729858,,0.2205607295036316,,0.48677724599838257,,0.9902327060699463,,1.094362735748291,,1.313847303390503,,
,0.001,2,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,,,,,,1.2637306451797485,,0.7255492210388184,,0.8883530497550964,,1.2091639041900635,,1.303763508796692,,1.3164584636688232,1.3022586107254028
2,,2,0.7898351550102234,1.0,1.0,0.9609375,0.83740234375,0.806640625,0.778961181640625,1.3022586107254028,1.2637306451797485,,0.7255492210388184,,0.8883530497550964,,1.2091639041900635,,1.303763508796692,,1.3164584636688232,,
,0.001,3,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,,,,,,0.36803650856018066,,0.2680376470088959,,0.4081141948699951,,0.8653881549835205,,0.9515073299407959,,1.0857808589935303,1.03939950466156
3,,3,0.7898351550102234,1.0,1.0,0.9609375,0.83740234375,0.806640625,0.778961181640625,1.03939950466156,0.36803650856018066,,0.2680376470088959,,0.4081141948699951,,0.8653881549835205,,0.9515073299407959,,1.0857808589935303,,
,0.001,4,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,,,,,,0.12310096621513367,,0.1046886071562767,,0.292225182056427,,0.88556969165802,,0.9968787431716919,,1.1236417293548584,1.0752410888671875
4,,4,0.7898351550102234,1.0,1.0,0.9609375,0.83740234375,0.806640625,0.778961181640625,1.0752410888671875,0.12310096621513367,,0.1046886071562767,,0.292225182056427,,0.88556969165802,,0.9968787431716919,,1.1236417293548584,,
,0.001,5,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,,,,,,0.12792105972766876,,0.11831039935350418,,0.2988260090351105,,0.874727189540863,,0.9836084842681885,,1.1118758916854858,1.0635381937026978
5,,5,0.7898351550102234,1.0,1.0,0.9609375,0.83740234375,0.806640625,0.778961181640625,1.0635381937026978,0.12792105972766876,,0.11831039935350418,,0.2988260090351105,,0.874727189540863,,0.9836084842681885,,1.1118758916854858,,
,0.001,6,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,,,,,,0.21823401749134064,,0.21048545837402344,,0.3604302406311035,,0.858431875705719,,0.9459889531135559,,1.0824518203735352,1.0347037315368652
6,,6,0.7898351550102234,1.0,1.0,0.9609375,0.83740234375,0.806640625,0.778961181640625,1.0347037315368652,0.21823401749134064,,0.21048545837402344,,0.3604302406311035,,0.858431875705719,,0.9459889531135559,,1.0824518203735352,,
,0.001,7,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,,,,,,0.3291062116622925,,0.32966750860214233,,0.45283418893814087,,0.8828209638595581,,0.9497530460357666,,1.0938527584075928,1.0466196537017822
7,,7,0.7898351550102234,1.0,1.0,0.9609375,0.83740234375,0.806640625,0.778961181640625,1.0466196537017822,0.3291062116622925,,0.32966750860214233,,0.45283418893814087,,0.8828209638595581,,0.9497530460357666,,1.0938527584075928,,
,0.001,8,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,,,,,,0.3227635324001312,,0.3292517364025116,,0.454304575920105,,0.881507158279419,,0.9491323828697205,,1.0897924900054932,1.0434069633483887
8,,8,0.7898351550102234,1.0,1.0,0.9609375,0.83740234375,0.806640625,0.778961181640625,1.0434069633483887,0.3227635324001312,,0.3292517364025116,,0.454304575920105,,0.881507158279419,,0.9491323828697205,,1.0897924900054932,,
,0.001,9,,,,,,,,,,,,,,,,,,,,,
9,,9,,,,,,,,,,0.24168838560581207,,0.24773657321929932,,0.39076003432273865,,0.8557802438735962,,0.9355778098106384,,1.0735597610473633,1.0264379978179932
9,,9,0.7898351550102234,1.0,1.0,0.9609375,0.83740234375,0.806640625,0.778961181640625,1.0264379978179932,0.24168838560581207,,0.24773657321929932,,0.39076003432273865,,0.8557802438735962,,0.9355778098106384,,1.0735597610473633,,
,0.001,10,,,,,,,,,,,,,,,,,,,,,
10,,10,,,,,,,,,,0.17307141423225403,,0.17718881368637085,,0.3380495309829712,,0.8475462794303894,,0.9408738613128662,,1.079338788986206,1.030505657196045
