epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/acc_s5_32,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_s5_32_epoch,train/loss_s5_32_step,train/loss_step,val/acc,val/acc_s0_1,val/acc_s1_2,val/acc_s2_4,val/acc_s3_8,val/acc_s4_16,val/acc_s5_32,val/loss,val/loss_s0_1,val/loss_s1_2,val/loss_s2_4,val/loss_s3_8,val/loss_s4_16,val/loss_s5_32
,0.0003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,0.35615381598472595,,0.2110438346862793,,0.5551214218139648,,0.9179737567901611,,1.0115567445755005,,1.1517152786254883,1.1041374206542969,,,,,,,,,,,,,,
0,,15,,,,,,,,,,,,,,,,,,,,,,0.7743303179740906,1.0,1.0,0.925537109375,0.8212890625,0.7922515869140625,0.7634506225585938,1.0763126611709595,0.21099945902824402,0.1794928014278412,0.4560035169124603,0.9009925723075867,0.9798978567123413,1.125414490699768
0,,15,0.7234731912612915,0.9269999861717224,0.9477499723434448,0.8598750233650208,0.7500312328338623,0.7413125038146973,0.7141474485397339,1.2680429220199585,0.7771410942077637,,0.464876651763916,,0.774549663066864,,1.1900254487991333,,1.1955376863479614,,1.3023730516433716,,,,,,,,,,,,,,,,
,0.0002999259840548597,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,19,,,,,,,,,,0.26738208532333374,,0.22012144327163696,,0.5344061851501465,,0.9083557724952698,,0.9915358424186707,,1.14054274559021,1.0912688970565796,,,,,,,,,,,,,,
1,,29,,,,,,,,,,0.18868760764598846,,0.1297021210193634,,0.4907417893409729,,0.8362550735473633,,0.9012413024902344,,1.0791314840316772,1.0240498781204224,,,,,,,,,,,,,,
1,,31,,,,,,,,,,,,,,,,,,,,,,0.775080144405365,1.0,1.0,0.925537109375,0.8212890625,0.7962493896484375,0.7634506225585938,0.9837929010391235,0.1740080565214157,0.0954209715127945,0.4174473285675049,0.788785457611084,0.8450472354888916,1.043777346611023
1,,31,0.7734923362731934,1.0,1.0,0.9211875200271606,0.8209999799728394,0.791742205619812,0.7625468969345093,1.0564388036727905,0.2247983068227768,,0.1743440479040146,,0.4733681380748749,,0.8727071285247803,,0.9489834308624268,,1.108154058456421,,,,,,,,,,,,,,,,
,0.0002997040092642407,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,39,,,,,,,,,,0.137489914894104,,0.049113526940345764,,0.4547739624977112,,0.665404736995697,,0.7457847595214844,,1.0042811632156372,0.9300373792648315,,,,,,,,,,,,,,
2,,47,,,,,,,,,,,,,,,,,,,,,,0.7828640341758728,1.0,1.0,0.925537109375,0.8531494140625,0.8203582763671875,0.76580810546875,0.8261151909828186,0.12460487335920334,0.03516566380858421,0.39649802446365356,0.5054103136062622,0.63656085729599,0.9040353298187256
2,,47,0.7785385251045227,1.0,1.0,0.9211875200271606,0.8355312347412109,0.8137343525886536,0.7628672122955322,0.9201110005378723,0.1532706916332245,,0.05748901516199112,,0.46125027537345886,,0.6444395184516907,,0.7364023327827454,,0.9945558905601501,,,,,,,,,,,,,,,,
,0.000299334294690462,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,49,,,,,,,,,,0.12405448406934738,,0.03207007050514221,,0.446855366230011,,0.4838477075099945,,0.6229375600814819,,0.8777963519096375,0.8034459948539734,,,,,,,,,,,,,,
3,,59,,,,,,,,,,0.10116966813802719,,0.02399049885571003,,0.4259234070777893,,0.48921528458595276,,0.590381920337677,,0.750115692615509,0.7015222907066345,,,,,,,,,,,,,,
3,,63,,,,,,,,,,,,,,,,,,,,,,0.8074118494987488,1.0,1.0,0.925537109375,0.85137939453125,0.82708740234375,0.7969589233398438,0.6649589538574219,0.06254090368747711,0.01633245125412941,0.3597719073295593,0.4825705289840698,0.5804434418678284,0.7053776979446411
3,,63,0.7967692613601685,1.0,1.0,0.9211875200271606,0.8574687242507935,0.8278788924217224,0.7822617292404175,0.7485103607177734,0.10660018771886826,,0.026050077751278877,,0.4175940454006195,,0.4917174279689789,,0.6087691783905029,,0.8081148862838745,,,,,,,,,,,,,,,,
,0.0002988172051971717,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,69,,,,,,,,,,0.06616107374429703,,0.019540641456842422,,0.4855045676231384,,0.49649402499198914,,0.6218866109848022,,0.7535145878791809,0.7109816670417786,,,,,,,,,,,,,,
4,,79,,,,,,,,,,0.06624121963977814,,0.020363038405776024,,0.3655567169189453,,0.4299166798591614,,0.5503555536270142,,0.6504344940185547,0.6157122254371643,,,,,,,,,,,,,,
4,,79,,,,,,,,,,,,,,,,,,,,,,0.8133642673492432,1.0,1.0,0.925537109375,0.8626708984375,0.8296966552734375,0.8035354614257812,0.6176052093505859,0.04653998464345932,0.015721458941698074,0.3379955291748047,0.4491725564002991,0.5536642074584961,0.6513951420783997
4,,79,0.8101149797439575,1.0,1.0,0.9211875200271606,0.8620468974113464,0.8303672075271606,0.7991435527801514,0.6503389477729797,0.06925693154335022,,0.02113630622625351,,0.388161301612854,,0.4642929136753082,,0.5724249482154846,,0.6885671615600586,,,,,,,,,,,,,,,,
,0.00029815325108927063,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,89,,,,,,,,,,0.05206470936536789,,0.014163676649332047,,0.3766823410987854,,0.4334265887737274,,0.5499643087387085,,0.6419561505317688,0.6095449924468994,,,,,,,,,,,,,,
5,,95,,,,,,,,,,,,,,,,,,,,,,0.8177741765975952,1.0,1.0,0.925537109375,0.86395263671875,0.8307952880859375,0.8090591430664062,0.5917158722877502,0.02995578944683075,0.007898245006799698,0.31579816341400146,0.4369143843650818,0.5332299470901489,0.6231527328491211
