epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/acc_s5_32,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_s5_32_epoch,train/loss_s5_32_step,train/loss_step
,0.001,0,,,,,,,,,,,,,,,,,,,,,
0,,0,,,,,,,,,,2.604278802871704,,2.41410493850708,,2.9205331802368164,,3.605184555053711,,3.219754695892334,,3.1725289821624756,3.1960792541503906
0,,0,0.014171245507895947,0.0,0.25,0.005859375,0.00439453125,0.01220703125,0.014495849609375,3.1960792541503906,2.604278802871704,,2.41410493850708,,2.9205331802368164,,3.605184555053711,,3.219754695892334,,3.1725289821624756,,
,0.001,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,0.9803122282028198,,0.22160501778125763,,0.8445293307304382,,1.0963399410247803,,1.2395575046539307,,1.4751191139221191,1.4017536640167236
1,,1,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.4017536640167236,0.9803122282028198,,0.22160501778125763,,0.8445293307304382,,1.0963399410247803,,1.2395575046539307,,1.4751191139221191,,
,0.001,2,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,,,,,,1.3370177745819092,,0.7992937564849854,,1.1645410060882568,,1.3562091588974,,1.4089922904968262,,1.3907420635223389,1.3881217241287231
2,,2,0.749748170375824,1.0,1.0,0.87109375,0.7314453125,0.7515869140625,0.747314453125,1.3881217241287231,1.3370177745819092,,0.7992937564849854,,1.1645410060882568,,1.3562091588974,,1.4089922904968262,,1.3907420635223389,,
,0.001,3,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,,,,,,0.4100382328033447,,0.3026024103164673,,0.6901624202728271,,0.9173165559768677,,1.0290501117706299,,1.1672635078430176,1.1209421157836914
3,,3,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.1209421157836914,0.4100382328033447,,0.3026024103164673,,0.6901624202728271,,0.9173165559768677,,1.0290501117706299,,1.1672635078430176,,
,0.001,4,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,,,,,,0.16129976511001587,,0.14026419818401337,,0.6270841360092163,,0.9225218296051025,,1.0611121654510498,,1.1939244270324707,1.145802617073059
4,,4,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.145802617073059,0.16129976511001587,,0.14026419818401337,,0.6270841360092163,,0.9225218296051025,,1.0611121654510498,,1.1939244270324707,,
,0.001,5,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,,,,,,0.19354717433452606,,0.184663325548172,,0.622050940990448,,0.8974965810775757,,1.0326194763183594,,1.1717338562011719,1.122733235359192
5,,5,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.122733235359192,0.19354717433452606,,0.184663325548172,,0.622050940990448,,0.8974965810775757,,1.0326194763183594,,1.1717338562011719,,
,0.001,6,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,,,,,,0.3446091115474701,,0.34857413172721863,,0.6777147054672241,,0.9035303592681885,,1.0155200958251953,,1.169048547744751,1.1190382242202759
6,,6,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.1190382242202759,0.3446091115474701,,0.34857413172721863,,0.6777147054672241,,0.9035303592681885,,1.0155200958251953,,1.169048547744751,,
,0.001,7,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,,,,,,0.35182833671569824,,0.3688323199748993,,0.690437912940979,,0.9096879959106445,,1.0172972679138184,,1.1656421422958374,1.1173186302185059
7,,7,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.1173186302185059,0.35182833671569824,,0.3688323199748993,,0.690437912940979,,0.9096879959106445,,1.0172972679138184,,1.1656421422958374,,
,0.001,8,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,,,,,,0.2655948996543884,,0.28041329979896545,,0.6518255472183228,,0.8884357213973999,,1.0047245025634766,,1.1491012573242188,1.1007806062698364
8,,8,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.1007806062698364,0.2655948996543884,,0.28041329979896545,,0.6518255472183228,,0.8884357213973999,,1.0047245025634766,,1.1491012573242188,,
,0.001,9,,,,,,,,,,,,,,,,,,,,,
9,,9,,,,,,,,,,0.196806401014328,,0.20674313604831696,,0.6283953189849854,,0.8836562633514404,,1.0091032981872559,,1.1538023948669434,1.1043635606765747
9,,9,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.1043635606765747,0.196806401014328,,0.20674313604831696,,0.6283953189849854,,0.8836562633514404,,1.0091032981872559,,1.1538023948669434,,
,0.001,10,,,,,,,,,,,,,,,,,,,,,
10,,10,,,,,,,,,,0.1948544830083847,,0.20374494791030884,,0.6298165321350098,,0.8845611214637756,,1.0104752779006958,,1.1558045148849487,1.106171727180481
10,,10,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.106171727180481,0.1948544830083847,,0.20374494791030884,,0.6298165321350098,,0.8845611214637756,,1.0104752779006958,,1.1558045148849487,,
,0.001,11,,,,,,,,,,,,,,,,,,,,,
11,,11,,,,,,,,,,0.2370404750108719,,0.24721339344978333,,0.6428773999214172,,0.882926881313324,,1.0022181272506714,,1.148884892463684,1.0996668338775635
11,,11,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.0996668338775635,0.2370404750108719,,0.24721339344978333,,0.6428773999214172,,0.882926881313324,,1.0022181272506714,,1.148884892463684,,
