epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/acc_s5_32,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_s5_32_epoch,train/loss_s5_32_step,train/loss_step
,0.001,0,,,,,,,,,,,,,,,,,,,,,
0,,0,,,,,,,,,,2.604278802871704,,2.41410493850708,,2.9205331802368164,,3.605184555053711,,3.219754695892334,,3.1725289821624756,3.1960792541503906
0,,0,0.014171245507895947,0.0,0.25,0.005859375,0.00439453125,0.01220703125,0.014495849609375,3.1960792541503906,2.604278802871704,,2.41410493850708,,2.9205331802368164,,3.605184555053711,,3.219754695892334,,3.1725289821624756,,
,0.001,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,0.9802712202072144,,0.22161027789115906,,0.8445186614990234,,1.0963420867919922,,1.2395577430725098,,1.4751189947128296,1.401753544807434
1,,1,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.401753544807434,0.9802712202072144,,0.22161027789115906,,0.8445186614990234,,1.0963420867919922,,1.2395577430725098,,1.4751189947128296,,
,0.001,2,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,,,,,,1.3370658159255981,,0.7992700338363647,,1.1645090579986572,,1.3562126159667969,,1.408994436264038,,1.3907431364059448,1.3881226778030396
2,,2,0.749748170375824,1.0,1.0,0.87109375,0.7314453125,0.7515869140625,0.747314453125,1.3881226778030396,1.3370658159255981,,0.7992700338363647,,1.1645090579986572,,1.3562126159667969,,1.408994436264038,,1.3907431364059448,,
,0.001,3,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,,,,,,0.4100398123264313,,0.30261918902397156,,0.6901544332504272,,0.9173157215118408,,1.0290498733520508,,1.1672636270523071,1.1209421157836914
3,,3,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.1209421157836914,0.4100398123264313,,0.30261918902397156,,0.6901544332504272,,0.9173157215118408,,1.0290498733520508,,1.1672636270523071,,
,0.001,4,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,,,,,,0.16126537322998047,,0.1402641236782074,,0.6270857453346252,,0.9225220680236816,,1.061112642288208,,1.1939246654510498,1.1458027362823486
4,,4,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.1458027362823486,0.16126537322998047,,0.1402641236782074,,0.6270857453346252,,0.9225220680236816,,1.061112642288208,,1.1939246654510498,,
,0.001,5,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,,,,,,0.19353087246418,,0.18467459082603455,,0.622049868106842,,0.8974967002868652,,1.0326188802719116,,1.171734094619751,1.1227333545684814
5,,5,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.1227333545684814,0.19353087246418,,0.18467459082603455,,0.622049868106842,,0.8974967002868652,,1.0326188802719116,,1.171734094619751,,
,0.001,6,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,,,,,,0.3446204364299774,,0.3485814929008484,,0.677714467048645,,0.9035287499427795,,1.015519618988037,,1.1690480709075928,1.1190377473831177
6,,6,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.1190377473831177,0.3446204364299774,,0.3485814929008484,,0.677714467048645,,0.9035287499427795,,1.015519618988037,,1.1690480709075928,,
,0.001,7,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,,,,,,0.3518145978450775,,0.36883023381233215,,0.6904361844062805,,0.909687340259552,,1.0172975063323975,,1.1656423807144165,1.1173187494277954
7,,7,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.1173187494277954,0.3518145978450775,,0.36883023381233215,,0.6904361844062805,,0.909687340259552,,1.0172975063323975,,1.1656423807144165,,
,0.001,8,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,,,,,,0.26560038328170776,,0.28042805194854736,,0.6518235802650452,,0.8884345889091492,,1.0047252178192139,,1.1491013765335083,1.1007808446884155
8,,8,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.1007808446884155,0.26560038328170776,,0.28042805194854736,,0.6518235802650452,,0.8884345889091492,,1.0047252178192139,,1.1491013765335083,,
,0.001,9,,,,,,,,,,,,,,,,,,,,,
9,,9,,,,,,,,,,0.19679005444049835,,0.20674605667591095,,0.6283963918685913,,0.8836556077003479,,1.0091028213500977,,1.1538021564483643,1.104363203048706
9,,9,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.104363203048706,0.19679005444049835,,0.20674605667591095,,0.6283963918685913,,0.8836556077003479,,1.0091028213500977,,1.1538021564483643,,
,0.001,10,,,,,,,,,,,,,,,,,,,,,
10,,10,,,,,,,,,,0.1948584020137787,,0.20374411344528198,,0.6298171281814575,,0.8845612406730652,,1.0104756355285645,,1.1558043956756592,1.106171727180481
10,,10,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.106171727180481,0.1948584020137787,,0.20374411344528198,,0.6298171281814575,,0.8845612406730652,,1.0104756355285645,,1.1558043956756592,,
,0.001,11,,,,,,,,,,,,,,,,,,,,,
11,,11,,,,,,,,,,0.23704658448696136,,0.2472250610589981,,0.6428691148757935,,0.8829289674758911,,1.00221848487854,,1.1488845348358154,1.0996665954589844
11,,11,0.7578755021095276,1.0,1.0,0.87109375,0.80908203125,0.7755126953125,0.747314453125,1.0996665954589844,0.23704658448696136,,0.2472250610589981,,0.6428691148757935,,0.8829289674758911,,1.00221848487854,,1.1488845348358154,,
