epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_step
,0.001,0,,,,,,,,,,,,,,,,,,
0,,0,,,,,,,,,6.943746566772461,,6.463393211364746,,6.548408508300781,,6.1974382400512695,,6.489813804626465,6.438709735870361
0,,0,0.0015579179162159562,0.0,0.0,0.0,0.0,0.0020751953125,6.438709735870361,6.943746566772461,,6.463393211364746,,6.548408508300781,,6.1974382400512695,,6.489813804626465,,
,0.001,1,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,5.223525047302246,,3.047487735748291,,2.8012442588806152,,3.0184686183929443,,2.923208475112915,2.943567991256714
1,,1,0.7259897589683533,0.0,1.0,0.923828125,0.78955078125,0.6962890625,2.943567991256714,5.223525047302246,,3.047487735748291,,2.8012442588806152,,3.0184686183929443,,2.923208475112915,,
,0.001,2,,,,,,,,,,,,,,,,,,
2,,2,,,,,,,,,2.1819212436676025,,0.4893023371696472,,0.8357163071632385,,1.76314115524292,,2.444521188735962,2.2174458503723145
2,,2,0.7289223074913025,1.0,1.0,0.923828125,0.78955078125,0.6962890625,2.2174458503723145,2.1819212436676025,,0.4893023371696472,,0.8357163071632385,,1.76314115524292,,2.444521188735962,,
,0.001,3,,,,,,,,,,,,,,,,,,
3,,3,,,,,,,,,0.3528633713722229,,0.3000360131263733,,0.7490767240524292,,1.6687259674072266,,2.3146660327911377,2.090590238571167
3,,3,0.7289223074913025,1.0,1.0,0.923828125,0.78955078125,0.6962890625,2.090590238571167,0.3528633713722229,,0.3000360131263733,,0.7490767240524292,,1.6687259674072266,,2.3146660327911377,,
,0.001,4,,,,,,,,,,,,,,,,,,
4,,4,,,,,,,,,0.3795386254787445,,0.4322085678577423,,0.8304321765899658,,1.6419353485107422,,2.2452473640441895,2.0388927459716797
4,,4,0.7289223074913025,1.0,1.0,0.923828125,0.78955078125,0.6962890625,2.0388927459716797,0.3795386254787445,,0.4322085678577423,,0.8304321765899658,,1.6419353485107422,,2.2452473640441895,,
,0.001,5,,,,,,,,,,,,,,,,,,
5,,5,,,,,,,,,0.3351151943206787,,0.3685641884803772,,0.7702783942222595,,1.5680184364318848,,2.166398048400879,1.9621257781982422
5,,5,0.7289223074913025,1.0,1.0,0.923828125,0.78955078125,0.6962890625,1.9621257781982422,0.3351151943206787,,0.3685641884803772,,0.7702783942222595,,1.5680184364318848,,2.166398048400879,,
,0.001,6,,,,,,,,,,,,,,,,,,
6,,6,,,,,,,,,0.24361379444599152,,0.25328686833381653,,0.6779825091362,,1.5041556358337402,,2.113417148590088,1.9044140577316284
6,,6,0.7289223074913025,1.0,1.0,0.923828125,0.78955078125,0.6962890625,1.9044140577316284,0.24361379444599152,,0.25328686833381653,,0.6779825091362,,1.5041556358337402,,2.113417148590088,,
,0.001,7,,,,,,,,,,,,,,,,,,
7,,7,,,,,,,,,0.2187741994857788,,0.2229394018650055,,0.6480899453163147,,1.4711863994598389,,2.0819616317749023,1.8727803230285645
7,,7,0.7289223074913025,1.0,1.0,0.923828125,0.78955078125,0.6962890625,1.8727803230285645,0.2187741994857788,,0.2229394018650055,,0.6480899453163147,,1.4711863994598389,,2.0819616317749023,,
,0.001,8,,,,,,,,,,,,,,,,,,
8,,8,,,,,,,,,0.2517590820789337,,0.25671881437301636,,0.6598199605941772,,1.4442468881607056,,2.039783477783203,1.8371031284332275
8,,8,0.7289223074913025,1.0,1.0,0.923828125,0.78955078125,0.6962890625,1.8371031284332275,0.2517590820789337,,0.25671881437301636,,0.6598199605941772,,1.4442468881607056,,2.039783477783203,,
,0.001,9,,,,,,,,,,,,,,,,,,
